,sample_name,smartseq_cluster_id,smartseq_cluster,sex_label,smartseq_cluster_color,medical_cond_label,cell_counts,n_genes,percent_mito,pass_count_filter,pass_mito_filter
SM-GE65W_S71_E1-50,SM-GE65W_S71_E1-50,29,Esr1_5 Ngf,F,#189C67,behavior - none,962489.6,9385,0.0,True,True
SM-GE65W_S78_E1-50,SM-GE65W_S78_E1-50,32,Satb2 Calcrl,F,#5472EB,behavior - none,957840.25,7630,0.0,True,True
SM-GE65X_S16_E1-50,SM-GE65X_S16_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,957347.3,8694,0.0,True,True
SM-GE4R3_S090_E1-50,SM-GE4R3_S090_E1-50,40,Scgn,M,#24EFCD,behavior - none,973175.25,8666,0.0,True,True
SM-GE5Q6_S084_E1-50,SM-GE5Q6_S084_E1-50,38,Dlk1_4 Maob,M,#33BFFF,behavior - none,967529.0,9051,0.0,True,True
SM-GE5Q6_S088_E1-50,SM-GE5Q6_S088_E1-50,31,Nup62cl,M,#FFDE17,behavior - none,966541.94,7052,0.0,True,True
SM-GE5Q6_S176_E1-50,SM-GE5Q6_S176_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,969022.4,8722,0.0,True,True
LS-15034_S06_E1-50,LS-15034_S06_E1-50,32,Satb2 Calcrl,M,#5472EB,behavior - none,947022.9,9312,0.0,True,True
LS-15034_S50_E1-50,LS-15034_S50_E1-50,32,Satb2 Calcrl,F,#5472EB,behavior - none,944218.06,8891,0.0,True,True
LS-15053_E1-50_S15,LS-15053_E1-50_S15,32,Satb2 Calcrl,M,#5472EB,behavior - none,930591.4,9794,0.0,True,True
LS-15054_E1-50_S29,LS-15054_E1-50_S29,32,Satb2 Calcrl,M,#5472EB,behavior - none,937578.0,10484,0.0,True,True
LS-15054_E1-50_S51,LS-15054_E1-50_S51,32,Satb2 Calcrl,M,#5472EB,behavior - none,944190.9,9677,0.0,True,True
LS-15054_E1-50_S53,LS-15054_E1-50_S53,32,Satb2 Calcrl,M,#5472EB,behavior - none,944465.56,9630,0.0,True,True
LS-15054_E1-50_S55,LS-15054_E1-50_S55,38,Dlk1_4 Maob,M,#33BFFF,behavior - none,932938.2,9405,0.0,True,True
LS-15054_E1-50_S61,LS-15054_E1-50_S61,38,Dlk1_4 Maob,M,#33BFFF,behavior - none,939483.5,9133,0.0,True,True
LS-15054_E1-50_S62,LS-15054_E1-50_S62,31,Nup62cl,M,#FFDE17,behavior - none,929821.6,10058,0.0,True,True
LS-15054_E1-50_S67,LS-15054_E1-50_S67,31,Nup62cl,M,#FFDE17,behavior - none,931401.56,10128,0.0,True,True
